Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n20_w6_spread_bias_high.bif,20,6,spread_bias_high,0.25,0.9,X2,1,0.9260621738424847,0.016998767852783203,0.27319908142089844,0.0,0.9241999999999999,4.9559999999999776e-05,1.3239888429641724,0.09695148468017578,0.0,0.0018621738424847711,0.9325999999999999,4.0239999999999676e-05,5.587532877922058,0.24068546295166016,0.0,0.006537826157515192
bn_n20_w6_spread_bias_high.bif,20,6,spread_bias_high,0.25,1.0,X2,1,1.0,0.020830631256103516,0.2922697067260742,0.0,1.0,0.0,1.691565203666687,0.12254047393798828,0.0,0.0,1.0,0.0,7.389828419685363,0.3108043670654297,0.0,0.0
bn_n20_w6_spread_bias_high.bif,20,6,spread_bias_high,0.5,0.4,X2,1,0.37415635030015204,0.01929783821105957,0.2516965866088867,0.0,0.37649999999999995,0.00022945000000000045,1.5589223384857178,0.09962940216064453,0.0,0.002343649699847905,0.3703,0.00039200999999999977,6.607887530326844,0.2841653823852539,0.0,0.0038563503001520227
bn_n20_w6_spread_bias_high.bif,20,6,spread_bias_high,0.5,0.5,X2,1,0.5445806688447166,0.018459796905517578,0.2833824157714844,0.0,0.5453,0.00010221000000000018,1.6704734086990356,0.11884021759033203,0.0,0.0007193311552834425,0.537,9.700000000000016e-05,7.338461685180664,0.3305978775024414,0.0,0.007580668844716532
bn_n20_w6_spread_bias_high.bif,20,6,spread_bias_high,0.5,0.7,X2,1,0.7008741236745618,0.025380611419677734,0.2748899459838867,0.0,0.6984999999999999,0.00040144999999999905,2.008418083190918,0.11390399932861328,0.0,0.002374123674561912,0.6881999999999999,0.00021875999999999905,8.295273542404175,0.3599710464477539,0.0,0.012674123674561888
bn_n20_w6_spread_bias_high.bif,20,6,spread_bias_high,0.5,0.9,X2,1,0.909905850049568,0.007454395294189453,0.2409830093383789,0.0,0.9090999999999999,0.00014089000000000023,1.4959854364395142,0.09801959991455078,0.0,0.0008058500495681242,0.9098,4.9560000000000074e-05,6.7033367395401005,0.2985725402832031,0.0,0.00010585004956797928
bn_n20_w6_spread_bias_high.bif,20,6,spread_bias_high,0.5,1.0,X2,1,0.9982707862114518,0.020440101623535156,0.2665977478027344,0.0,0.9977,1.6100000000000028e-06,1.9451897382736205,0.12733173370361328,0.0,0.0005707862114517903,0.9984000000000002,1.4400000000000025e-06,7.702393627166748,0.3455362319946289,0.0,0.00012921378854835464
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.25,0.4,X11,1,0.431022244766757,0.0164642333984375,0.2669553756713867,0.0,0.4245,7.94499999999999e-05,1.3011009216308593,0.09611225128173828,0.0,0.006522244766757002,0.4396,0.00027904000000000047,5.617019557952881,0.2365121841430664,0.0,0.008577755233243
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.25,0.5,X11,1,0.4680820068277868,0.018619775772094727,0.24881362915039062,0.0,0.46519999999999995,0.00023515999999999983,1.1978271484375,0.08920764923095703,0.0,0.0028820068277868316,0.4685,0.0003312499999999998,4.73571879863739,0.2199869155883789,0.0,0.00041799317221324905
bn_n20_w6_spread_bias_low.bif,20,6,spread_bias_low,0.25,0.7,X11,1,0.7497045223116835,0.01826930046081543,0.2862882614135742,0.0,0.7413,0.0001596100000000003,1.9049701929092406,0.12284564971923828,0.0,0.008404522311683538,0.7596,0.00028644000000000054,8.801883769035339,0.3484354019165039,0.0,0.009895477688316556
