threshold,threshold_distance,number_subnetworks,n_hidden,max_partition_size,max_partition_tensor_size,exact_time_sec,exact_peak_memory_mb,exact_success,mcmc_avg_time_sec,mcmc_peak_memory_mb,mcmc_avg_estimate,mcmc_success,pt_avg_time_sec,pt_peak_memory_mb,pt_avg_estimate,pt_success,exact_peak_rss_mb,exact_sdp_result,exact_time_sec_original,exact_peak_memory_mb_original,exact_peak_rss_mb_original,exact_success_original,exact_sdp_result_original,mcmc_error,pt_error
0.5,0.05553916628866584,49,100,11,2048,0.08086204109713435,1.13690185546875,True,1.046937469439581,1.341522216796875,0.7375999999999999,True,4.006575300777331,1.138458251953125,0.7372,True,0.0,0.7403956885567506,0.7492853470612317,11.754084587097168,4.0625,True,0.7403956885567506,0.0027956885567507195,0.0031956885567506754
0.6,0.044460833711334136,49,100,11,2048,0.08133731898851693,1.13690185546875,True,1.0538203897885978,1.3415298461914062,0.7258,True,4.001048119179904,1.1384506225585938,0.724,True,0.0,0.7212530496295967,0.7359169451519847,11.75415325164795,0.0,True,0.7212530496295967,0.004546950370403313,0.0027469503704032894
0.7,0.1444608337113341,49,100,11,2048,0.0783932670019567,1.13690185546875,True,1.0488816727884114,1.341461181640625,0.845,True,3.994726254371926,1.138458251953125,0.8436,True,0.0,0.8450310957692322,0.7658216969575733,11.75415325164795,0.0,True,0.8450310957692322,3.1095769232214465e-05,0.0014310957692321713
0.8,0.2444608337113342,49,100,11,2048,0.07972758891992271,1.13690185546875,True,1.0519738428294658,1.341461181640625,1.0,True,3.989972523925826,1.1384506225585938,1.0,True,0.0,1.0,0.7080510519444942,11.75415325164795,0.0,True,1.0,0.0,0.0
0.9,0.3444608337113342,49,100,11,2048,0.07947377394884825,1.13690185546875,True,1.050833827164024,1.341522216796875,1.0,True,3.995524153392762,1.138519287109375,1.0,True,0.0,1.0,0.6985460270661861,11.75415325164795,0.0,True,1.0,0.0,0.0
0.5,0.14660999174753947,44,100,9,512,0.07696356414817274,1.0978164672851562,True,1.0721346744336189,1.3024673461914062,1.0,True,4.0999600949697195,1.0993728637695312,1.0,True,0.0,1.0,0.6224733430426568,10.020024299621582,0.0,True,1.0,0.0,0.0
0.6,0.24660999174753945,44,100,9,512,0.07717333687469363,1.0978164672851562,True,1.0744124419987202,1.3024673461914062,1.0,True,4.0956181264016776,1.09930419921875,1.0,True,0.0,1.0,0.617000819882378,10.020024299621582,0.0,True,1.0,0.0,0.0
0.7,0.3466099917475394,44,100,9,512,0.07779774186201394,1.0978164672851562,True,1.07505360734649,1.3025283813476562,1.0,True,4.0952593154739585,1.1104650497436523,1.0,True,0.0,1.0,0.6239738420117646,10.020024299621582,0.0,True,1.0,0.0,0.0
0.8,0.4466099917475395,44,100,9,512,0.07731858501210809,1.097747802734375,True,1.070453613391146,1.3025283813476562,1.0,True,4.102728462824598,1.0993728637695312,1.0,True,0.0,1.0,0.6250887920614332,10.020024299621582,0.0,True,1.0,0.0,0.0
0.9,0.5466099917475395,44,100,9,512,0.07817218592390418,1.0978164672851562,True,1.0678853491321205,1.3025283813476562,1.0,True,4.098618701007217,1.0993728637695312,1.0,True,0.0,1.0,0.6218356960453093,10.020024299621582,0.0,True,1.0,0.0,0.0
