Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n20_w2_uncertain_strong.bif,20,2,uncertain_strong,0.25,0.8,X1,1,0.7968403210734893,0.011733531951904297,0.19871234893798828,0.0,0.7924999999999999,0.00014224999999999974,0.9448304891586303,0.07929134368896484,0.0,0.004340321073489473,0.7963,0.00011700999999999961,3.975878381729126,0.17896556854248047,0.0,0.000540321073489336
bn_n20_w2_uncertain_strong.bif,20,2,uncertain_strong,0.5,0.6,X1,1,0.6138454269066278,0.009600639343261719,0.16089344024658203,0.0,0.6177,0.0002514100000000004,1.0457968235015869,0.0868673324584961,0.0,0.0038545730933722266,0.6108,0.00027836000000000055,4.371190333366394,0.19662761688232422,0.0,0.0030454269066277906
bn_n20_w2_uncertain_strong.bif,20,2,uncertain_strong,0.5,0.8,X1,1,0.7648488275777177,0.011228799819946289,0.16806507110595703,0.0,0.7601,6.049000000000011e-05,0.9006908178329468,0.0803213119506836,0.0,0.0047488275777176625,0.7579,0.00020409000000000036,3.7410163640975953,0.16980266571044922,0.0,0.006948827577717642
bn_n20_w2_uniform.bif,20,2,uniform,0.25,0.6,X3,1,0.6286988795798892,0.012026786804199219,0.1895427703857422,0.0,0.6367,0.00011361000000000018,0.8543212890625,0.0765066146850586,0.0,0.008001120420110808,0.6301,0.00014029000000000024,3.5723104238510133,0.16034984588623047,0.0,0.0014011204201107574
bn_n20_w2_uniform.bif,20,2,uniform,0.25,0.8,X3,1,0.7813063896442972,0.011436700820922852,0.19716358184814453,0.0,0.7798999999999999,0.00022348999999999958,0.9422129631042481,0.07987117767333984,0.0,0.00140638964429729,0.786,0.00020740000000000032,3.950383758544922,0.17554759979248047,0.0,0.004693610355702815
bn_n20_w2_uniform.bif,20,2,uniform,0.5,0.6,X3,1,0.6401541241406213,0.01232147216796875,0.17980670928955078,0.0,0.6426000000000001,0.00015184000000000025,0.9022950172424317,0.07990169525146484,0.0,0.002445875859378721,0.6401,0.00018389000000000033,3.7955756902694704,0.17010784149169922,0.0,5.4124140621336636e-05
bn_n20_w2_uniform.bif,20,2,uniform,0.5,0.8,X3,1,0.7995212407435026,0.014360666275024414,0.21457481384277344,0.0,0.8012,0.0001385599999999992,1.0543229103088378,0.0878744125366211,0.0,0.0016787592564974085,0.8001999999999999,0.00013815999999999996,4.414425492286682,0.19429302215576172,0.0,0.0006787592564972966
bn_n20_w6_concentrated_bias_high.bif,20,6,concentrated_bias_high,0.25,0.6,X2,1,0.5677689675606691,0.014529705047607422,0.2784862518310547,0.0,0.5594,0.00021283999999999908,1.3977946043014526,0.1019582748413086,0.0,0.008368967560669072,0.5727,0.00011800999999999977,6.001766848564148,0.26615428924560547,0.0,0.004931032439330907
bn_n20_w6_concentrated_bias_high.bif,20,6,concentrated_bias_high,0.25,0.8,X2,1,0.7859864195126355,0.01576089859008789,0.2856731414794922,0.0,0.7912000000000001,0.00026956000000000045,1.598281168937683,0.1043081283569336,0.0,0.005213580487364644,0.7896,0.0001142400000000002,6.678555226325988,0.29595470428466797,0.0,0.0036135804873644872
bn_n20_w6_concentrated_bias_high.bif,20,6,concentrated_bias_high,0.5,0.6,X2,1,0.590487297000369,0.015372753143310547,0.26283740997314453,0.0,0.5967,0.00011401000000000019,1.492568016052246,0.1179962158203125,0.0,0.006212702999631059,0.5887,0.00020681000000000036,6.3221728801727295,0.29416942596435547,0.0,0.0017872970003689481
bn_n20_w6_concentrated_bias_high.bif,20,6,concentrated_bias_high,0.5,0.8,X2,1,0.7761182226120167,0.01596522331237793,0.2806520462036133,0.0,0.7792000000000001,0.00024176000000000042,1.6161822080612183,0.1069631576538086,0.0,0.003081777387983431,0.7739999999999999,0.00019700000000000034,6.871122360229492,0.3045988082885742,0.0,0.0021182226120167735
bn_n20_w6_concentrated_bias_low.bif,20,6,concentrated_bias_low,0.25,0.8,X13,1,0.765307368559233,0.013591766357421875,0.23760700225830078,0.0,0.7685000000000001,0.00013065000000000025,1.2170133352279664,0.0919179916381836,0.0,0.003192631440767091,0.7702000000000001,0.0001175600000000002,5.143353462219238,0.22706127166748047,0.0,0.004892631440767126
bn_n20_w6_concentrated_bias_low.bif,20,6,concentrated_bias_low,0.5,0.6,X13,1,0.5833108667601269,0.015593528747558594,0.2738313674926758,0.0,0.5843999999999999,0.00012844000000000023,1.4129395008087158,0.1126241683959961,0.0,0.0010891332398730302,0.5867,0.00010101000000000019,6.1332927465438845,0.2508878707885742,0.0,0.00338913323987311
