Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB,PT_Absolute_Error
bn_n50_w2_rigid_moderate.bif,50,2,rigid_moderate,0.25,0.8,X20,1,0.7991535675440247,0.028818130493164062,0.40494537353515625,0.7964,3.5840000000000063e-05,1.0355785131454467,0.10040569305419922,0.002753567544024671,0.8009000000000001,0.00014368999999999932,4.389977812767029,0.2066793441772461,0.0017464324559753885
bn_n50_w2_rigid_moderate.bif,50,2,rigid_moderate,0.25,0.9,X20,1,0.9278868278360547,0.025799274444580078,0.41364288330078125,0.9243,6.821000000000012e-05,1.176924729347229,0.10485363006591797,0.0035868278360546846,0.9282000000000001,9.775999999999936e-05,4.915940189361573,0.2577953338623047,0.000313172163945441
bn_n50_w2_rigid_moderate.bif,50,2,rigid_moderate,0.25,1.0,X20,1,1.0,0.02871561050415039,0.410400390625,1.0,0.0,1.1452406883239745,0.10318279266357422,0.0,1.0,0.0,4.8466541290283205,0.2190542221069336,0.0
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,0.4,X1,1,0.35855255277915077,0.02517867088317871,0.4233827590942383,0.3547999999999999,8.155999999999998e-05,1.0701767206192017,0.10170364379882812,0.003752552779150875,0.35660000000000003,0.00030543999999999987,4.41380729675293,0.2126913070678711,0.0019525527791507402
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,0.5,X1,1,0.4633058514047966,0.02815532684326172,0.4227418899536133,0.4667,0.00019960999999999967,0.9755448341369629,0.09685802459716797,0.003394148595203428,0.46410000000000007,0.0002598899999999997,4.041880702972412,0.18984127044677734,0.0007941485952034921
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,0.6,X1,1,0.5803684745936368,0.03175711631774902,0.461029052734375,0.5727,0.00012900999999999928,1.0982696771621705,0.10341167449951172,0.007668474593636843,0.5813,0.00016380999999999978,4.608452153205872,0.21591472625732422,0.0009315254063632095
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,0.7,X1,1,0.6518384049750994,0.03240036964416504,0.42893409729003906,0.6559,5.569000000000009e-05,1.0664927244186402,0.10212230682373047,0.004061595024900666,0.6500999999999999,0.00010389000000000019,4.3979846954345705,0.20645809173583984,0.0017384049750994723
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,0.8,X1,1,0.7528963107969898,0.031937360763549805,0.46540069580078125,0.7504000000000001,0.00017744000000000033,1.170646595954895,0.10310649871826172,0.0024963107969897536,0.7519000000000001,0.00023889000000000042,4.869609785079956,0.22721004486083984,0.0009963107969896967
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,0.9,X1,1,0.9364564505955261,0.030631542205810547,0.43853759765625,0.9346,3.043999999999958e-05,1.149695134162903,0.10367870330810547,0.0018564505955260824,0.9360000000000002,1.1999999999999709e-05,4.907555651664734,0.2176656723022461,0.0004564505955259035
bn_n50_w2_concentrated_bias_high.bif,50,2,concentrated_bias_high,0.25,1.0,X1,1,1.0,0.029482126235961914,0.4279937744140625,1.0,0.0,1.0670246601104736,0.10074901580810547,0.0,1.0,0.0,4.494671106338501,0.2311687469482422,0.0
bn_n50_w2_rigid_extreme.bif,50,2,rigid_extreme,0.25,0.4,X41,1,0.4433238673303842,0.02532339096069336,0.41112518310546875,0.4469,0.0003938900000000003,1.0068773031234741,0.09475326538085938,0.003576132669615817,0.4396999999999999,0.00014101000000000025,4.152775120735169,0.19995784759521484,0.0036238673303842783
bn_n50_w2_rigid_extreme.bif,50,2,rigid_extreme,0.25,0.5,X41,1,0.5078372118026042,0.028597354888916016,0.4609832763671875,0.5065,0.00027145000000000045,0.9949602842330932,0.09984874725341797,0.0013372118026042656,0.511,0.00015560000000000026,4.15584168434143,0.22415733337402344,0.003162788197395794
bn_n50_w2_rigid_extreme.bif,50,2,rigid_extreme,0.25,0.6,X41,1,0.63931720279109,0.028294086456298828,0.42108917236328125,0.6368,0.00024896000000000044,0.9603647232055664,0.09624767303466797,0.002517202791089912,0.6325000000000001,0.0003650500000000007,4.03062686920166,0.20722103118896484,0.0068172027910898825
bn_n50_w2_rigid_extreme.bif,50,2,rigid_extreme,0.25,0.7,X41,1,0.6866404412008894,0.030731916427612305,0.41423797607421875,0.6919000000000001,7.38899999999995e-05,1.1310171604156494,0.10248088836669922,0.005259558799110664,0.6841999999999999,0.00024275999999999893,4.741278266906738,0.21938228607177734,0.002440441200889487
bn_n50_w2_rigid_extreme.bif,50,2,rigid_extreme,0.25,0.8,X41,1,0.8109514735259586,0.03047037124633789,0.4430999755859375,0.8128,0.0002483599999999992,1.121885633468628,0.10154247283935547,0.0018485264740413232,0.8093,5.04099999999995e-05,4.735123085975647,0.24046897888183594,0.0016514735259586244
bn_n50_w2_rigid_extreme.bif,50,2,rigid_extreme,0.25,0.9,X41,1,0.9336457191076216,0.026579856872558594,0.42710113525390625,0.9308,7.155999999999957e-05,1.0502986669540406,0.09742259979248047,0.002845719107621658,0.9328999999999998,3.6289999999999614e-05,4.377198600769043,0.20093441009521484,0.0007457191076217784
bn_n50_w2_rigid_extreme.bif,50,2,rigid_extreme,0.25,1.0,X41,1,1.0,0.0270993709564209,0.41257476806640625,1.0,0.0,1.0294631958007812,0.09764385223388672,0.0,1.0,0.0,4.381858325004577,0.20099544525146484,0.0
